item_name,state,latest_price,price_change,highest_price,lowest_price,item_group
CILI KERING KERINTING (BERTANGKAI OR TIDAK BERTANGKAI),Perak,22.8874643,0.118514426,29.80786885,18.59290213,1
CILI KERING KERINTING (BERTANGKAI OR TIDAK BERTANGKAI),Perlis,23.29115942,-0.185412138,30.64067442,19.6914082,1
CILI KERING KERINTING (BERTANGKAI OR TIDAK BERTANGKAI),Pulau Pinang,24.33595457,-0.022663949,30.75903879,19.7187148,1
CILI KERING KERINTING (BERTANGKAI OR TIDAK BERTANGKAI),Sabah,28.11285386,0.373960433,29.11981506,18.93075112,1
CILI KERING KERINTING (BERTANGKAI OR TIDAK BERTANGKAI),Sarawak,24.32703704,0.480247842,29.92046667,19.56027027,1
CILI KERING KERINTING (BERTANGKAI OR TIDAK BERTANGKAI),Selangor,22.3377187,-0.069497754,28.64972866,19.54877516,1
CILI KERING KERINTING (BERTANGKAI OR TIDAK BERTANGKAI),Terengganu,23.62290744,-0.092277182,28.82914853,18.48410037,1
CILI KERING KERINTING (BERTANGKAI OR TIDAK BERTANGKAI),W.P. Kuala Lumpur,24.73624752,0.180107843,28.8157027,19.47476431,1
CILI KERING KERINTING (BERTANGKAI OR TIDAK BERTANGKAI),W.P. Labuan,28.00771704,-0.15982569,31.00528846,19.31222222,1
CILI KERING KERINTING (BERTANGKAI OR TIDAK BERTANGKAI),W.P. Putrajaya,25.43171674,0.848008369,29.32725,18.0195082,1
DADA AYAM (CHICKEN KEEL) (1KG),Johor,13.97847813,-0.01949453,15.69689034,13.28660265,1
DADA AYAM (CHICKEN KEEL) (1KG),Kedah,14.13702847,-0.260253024,15.67086162,13.21850144,1
DADA AYAM (CHICKEN KEEL) (1KG),Kelantan,14.12337662,-0.032980425,16.16426108,13.65512922,1
DADA AYAM (CHICKEN KEEL) (1KG),Melaka,12.25296117,-0.22989151,15.64078818,12.25296117,1
DADA AYAM (CHICKEN KEEL) (1KG),Negeri Sembilan,13.24227823,-0.035469074,15.38845214,13.03758929,1
DADA AYAM (CHICKEN KEEL) (1KG),Pahang,14.39100746,0.105024199,15.935,12.71969849,1
DADA AYAM (CHICKEN KEEL) (1KG),Perak,13.52161475,-0.137831753,15.32368069,13.07460754,1
DADA AYAM (CHICKEN KEEL) (1KG),Perlis,13.49859504,-0.128088843,13.75477273,11.77121827,1
DADA AYAM (CHICKEN KEEL) (1KG),Pulau Pinang,14.60862784,-0.043329875,15.78075334,13.71508274,1
DADA AYAM (CHICKEN KEEL) (1KG),Sabah,14.83251031,-0.010351132,15.64375824,11.46029051,1
